generation,N_shifts,logPrior,logLik,eventRate,acceptRate
491000,4,0.241446,-8.55292,2.08434,0.299
492000,2,-0.448052,-18.8787,0.620048,0.473667
493000,1,1.01919,-22.4775,0.886638,0.48
494000,1,1.76724,-9.5321,0.11233,0.405
495000,1,2.02623,-20.2363,1.16426,0.418
496000,2,1.3038,-9.16721,0.713746,0.3494
497000,3,-1.26294,-10.4076,5.09445,0.417111
498000,2,2.1696,-12.6539,2.60232,0.448
499000,2,2.78455,-5.21159,1.09204,0.350667
500000,1,-0.181974,-13.5477,0.27363,0.374
501000,3,-0.178147,-20.739,1.66407,0.453417
502000,1,0.173553,-21.229,3.42549,0.541
503000,0,0.647382,-25.8505,0.934985,0.505
504000,1,1.41475,-22.7999,0.435466,0.485
505000,0,1.70827,-21.0738,0.0716219,0.477
506000,1,-1.4451,-26.6106,2.76152,0.523
507000,1,-0.157656,-14.5043,1.78232,0.475714
508000,1,0.0765816,-22.4696,2.31603,0.50675
509000,3,3.45591,-19.6392,0.915969,0.51
510000,3,3.22532,-17.2527,2.21506,0.459
511000,5,0.477383,-23.9708,2.41462,0.478923
512000,1,2.47659,-22.1931,0.843184,0.525333
513000,1,3.27778,-12.5247,0.689281,0.488
514000,1,3.38424,-8.7689,0.537479,0.34
515000,2,3.48171,-12.8517,1.7289,0.378667
516000,1,1.93417,-9.11201,1.28448,0.385
517000,3,3.29784,-13.3122,2.26509,0.342
518000,1,1.55207,-14.9444,1.11949,0.365
519000,2,-0.155214,-7.88355,3.0432,0.391
520000,4,-6.3975,-6.32347,4.34574,0.420778
521000,4,-0.431551,-13.5244,3.07651,0.342
522000,1,0.782624,-10.3659,0.745308,0.361
523000,1,-0.555679,-13.408,2.07477,0.376
524000,1,0.329051,-4.19545,0.62017,0.402
525000,2,2.62944,-10.5091,0.391481,0.335
526000,1,3.43246,-9.15968,0.162523,0.413438
527000,1,0.627383,-8.31917,1.43178,0.357
528000,1,1.48692,-7.34058,0.525377,0.386
529000,1,-0.679412,-6.73632,0.547593,0.339
530000,0,1.6977,-23.2182,0.133514,0.434
531000,0,1.84692,-19.1208,0.0516301,0.501
532000,2,2.90469,-21.5864,2.1712,0.383923
533000,0,1.52124,-15.5626,0.202346,0.495
534000,0,0.616713,-24.267,1.10486,0.435
535000,1,2.36184,-10.6498,0.271235,0.4153
536000,0,0.645236,-19.3284,1.0544,0.468667
537000,0,1.76267,-20.2223,0.0265244,0.471
538000,1,0.413373,-15.8581,0.986521,0.437333
