gene_id,num_transcript,num_exon,num_uniq_exon
LOC100191933,2,5,5
LOC100191934,4,62,21
LOC100191935,1,1,1
LOC100191936,1,11,11
LOC100191937,1,4,4
LOC100191938,1,5,5
LOC100191939,3,18,11
LOC100191940,2,4,4
LOC100191941,2,6,5
LOC100191942,1,19,19
LOC100191943,1,10,10
LOC100191944,1,10,10
LOC100191945,3,26,12
LOC100191947,1,1,1
LOC100191949,1,2,2
LOC100191950,2,14,9
LOC100191951,4,36,14
LOC100191952,1,8,8
LOC100191953,2,8,7
LOC100191954,1,4,4
LOC100191955,1,1,1
LOC100191956,1,6,6
LOC100191957,2,11,8
LOC100191958,1,2,2
LOC100191959,8,102,26
LOC100191960,1,4,4
LOC100191961,1,10,10
LOC100191962,2,7,7
LOC100191963,1,1,1
LOC100191964,1,1,1
LOC100191965,1,1,1
LOC100191966,3,8,6
LOC100191967,1,1,1
LOC100191968,1,2,2
LOC100191969,2,11,8
LOC100191970,1,1,1
LOC100191972,1,8,8
LOC100191973,2,7,6
LOC100191974,2,29,17
LOC100191975,2,5,5
LOC100191976,1,1,1
LOC100191977,1,7,7
LOC100191978,1,4,4
LOC100191979,1,2,2
LOC100191980,2,12,8
LOC100191981,2,10,7
LOC100191982,1,2,2
LOC100191983,1,2,2
LOC100191984,1,1,1
LOC100191985,1,4,4
LOC100191986,3,27,14
LOC100191987,1,9,9
LOC100191988,13,140,26
LOC100191989,1,3,3
LOC100191990,1,4,4
LOC100191991,2,28,17
LOC100191992,1,5,5
LOC100191993,3,9,8
LOC100191994,3,34,17
LOC100191995,1,4,4
LOC100191996,2,10,8
LOC100191997,1,4,4
LOC100191998,2,34,21
LOC100191999,1,1,1
LOC100192000,1,4,4
LOC100192001,3,24,13
LOC100192002,2,16,11
LOC100192003,4,73,22
LOC100192004,1,11,11
LOC100192005,4,67,23
LOC100192006,1,9,9
LOC100192007,3,31,15
LOC100192009,2,7,6
LOC100192010,1,4,4
LOC100192011,5,10,9
LOC100192012,1,1,1
LOC100192013,1,3,3
LOC100192014,1,6,6
LOC100192016,1,1,1
LOC100192017,1,4,4
LOC100192018,1,2,2
LOC100192019,1,3,3
LOC100192020,1,3,3
LOC100192021,1,7,7
LOC100192022,2,8,6
LOC100192023,14,141,24
LOC100192024,2,6,6
LOC100192025,1,1,1
LOC100192026,3,30,13
LOC100192027,1,9,9
LOC100192028,1,1,1
LOC100192029,1,2,2
LOC100192030,1,5,5
LOC100192031,2,12,9
